X;Y;osm_id;type;name;brand;operator;wheelchair
4.833949;45.7610305003779;node/7301436160;fabric;Au liseron;;;
4.8346709;45.7621629003778;node/7301436182;tea;Human & Tea;;;
4.8351296;45.7621807003778;node/7301466488;antiques;;;;
4.832092;45.7594533003782;node/7302402744;shoemaker;Baltayan;;;
4.8771361;45.7438133003804;node/7337273659;tailor;Lisa Retouches;;;
4.831789;45.7616895003779;node/7343100457;deli;Vom Fass Lyon;;;
4.8328384;45.7633701003776;node/7343416237;deli;Tout le canard Domaine de Limagne;Le Domaine de Limagne;;
4.8255596;45.774386400376;node/7343726951;alcohol;Cave Tabareau;;;yes
4.8310205;45.7753938003759;node/7344124788;butcher;Tête de Canut;;;
4.8077498;45.7733765003762;node/7344372671;butcher;Henri's Boucherie;;;
4.8533704;45.7351501003816;node/7346748233;florist;Le Jardin de Nila;;;yes
4.8327211;45.7634739003776;node/7347294766;tailor;Point retouche;Point retouche;;
4.8344659;45.7797498003753;node/7347494037;wine;Cave des Échansons;;;
4.8325601;45.7662965003772;node/7347679219;alcohol;Le jeu de quilles;;;
4.8292202;45.774898800376;node/7351016540;butcher;Le Domaine de Limagne;;Eric Bizieux;
4.8433923;45.7485591003797;node/7351951840;alcohol;AFKraft;;;
4.8667624;45.7450770003802;node/7353543288;deli;Ô Divin Plaisir;;;limited
4.8433424;45.767934000377;node/7355047138;cheese;Fromagerie du château;;Artisans du Goût;yes
4.8265295;45.7546089003788;node/7357117581;farm;Ma ferme en ville - Ainay;Ma ferme en ville;;no
4.7981798;45.7565565003786;node/7359272886;greengrocer;Cerise et Potiron Point du Jour;Cerise et Potiron;;
4.7990805;45.7566022003786;node/7362652157;cheese;Les 3 Jean;;;
4.8350754;45.7628485003777;node/7366128556;deli;Épicerie fine Au Palais Grillet;;;
4.8315684;45.7652950003773;node/7366551049;alcohol;John Euvrard Selection;;;
4.8472816;45.7695873003767;node/7366868020;greengrocer;Au Marché de Sandrine;;;
4.8292007;45.7580912003783;node/7367256226;deli;G. Detou;;;no
4.8293958;45.7583228003783;node/7367287891;alcohol;La Petite Cave;;;
4.8341574;45.7650971003774;node/7367805502;fabric;Lydo tissus;;;
4.834093;45.7637134003775;node/7367805508;bag;Cabaïa;;;
4.880248;45.7480384003798;node/7372889267;alcohol;Aux bons vins de France;;Jean-François DALLE;
4.8686434;45.7443839003803;node/7373610718;greengrocer;Cerise et Potiron Monplaisir;Cerise et Potiron;;limited
4.8367424;45.7582723003783;node/7373839057;greengrocer;Cerise et Potiron;Cerise et Potiron;;
4.8061066;45.774603400376;node/7379273260;florist;Floramorphose;;;
4.8332415;45.7761581003758;node/7384189113;alcohol;Hoppy Days cave à bières;;;yes
4.8478713;45.7692153003768;node/7390017569;deli;A l'Olivier;;;
4.8084882;45.7735327003762;node/7395456520;greengrocer;Fan de carottes;;;
4.8305853;45.7543912003789;node/7395831241;garden_centre;L'Oeil Végétal;;;
4.8263594;45.7543979003789;node/7399512721;florist;Blandine Vallé fleuriste;;;
4.8266058;45.7547429003788;node/7399627977;collector;Numismatique;;;
4.8270953;45.7550464003788;node/7399732943;fabric;Les Tissus d'Élodie;;;
4.827298;45.7553315003787;node/7399873291;antiques;Gallerie du Désordre;;;
4.8345946;45.7685375003769;node/7401153235;wine;Vins nature;;;
4.8310726;45.7658967003772;node/7404995620;art;Ateliers Restaur'Art;;;
4.8217186;45.7440660003803;node/7406094167;alcohol;Cave Charlemagne;;;
4.831737;45.7650878003774;node/7408013294;art;Racont'Arts;;;
4.8333634;45.7643253003775;node/7408857552;deli;La Minaudière Cellerier;Maison Cellerier;;
4.8333514;45.7643908003775;node/7408857553;deli;Famille Mary;;;
4.8671314;45.7449830003802;node/7418659929;wine;Cavavin Lyon Monplaisir;Cavavin;;yes
4.8356889;45.7580126003784;node/7427244773;garden_centre;Plantes pour tous;;;
4.8317787;45.7658700003772;node/7429261038;craft;Arts 2000;;;
